Culture;CERCID;FLID;POSTRA;Order;CULTURE_NC;CULTURE_TL;ID_NC;ID_TL;ORDER_NC;ORDER_TL;BGL_ORIG_NC;BGL_ORIG_TL;BGL_GEN_NC;BGL_GEN_TL;DIS_BGL_TL;DIS_BGL_AB;BGL;DIS_BGL_BGP;BGL_AB;BGL_SPEC_NC;BGL_SPEC_TL;BGL_SPEC_TB;BGL_SPEC_TB_c;BGL_SPEC_TB_cl;BGD_ORIG_NC;BGD_ORIG_TL;BGD_GEN_NC;BGD_GEN_TL;DIS_BGD_TL;DIS_BGD_AB;BGD;DIS_BGD_BGP;BGD_AB;BGD_SPEC_NC;BGD_SPEC_TL;BGD_SPEC_TB;BGD_SPEC_TB_c;BGD_SPEC_TB_cl;LGL_ORIG_NC;LGL_ORIG_TL;LGL_GEN_NC;LGL_GEN_TL;DIS_LGL;LGL;LGL2;DIS_LGL_BGP;LGL_SPEC_NC;LGL_SPEC_TL;LGL_SPEC_TB;LGL_SPEC_TB_c;LGL_SPEC_TB_cl;LGD_ORIG__NC;LGD_ORIG_TL;LGD_GEN_NC;LGD_GEN_TL;DIS_LGD;LGD;LGD2;DIS_LGD_BGP;LGD_SPEC_NC;LGD_SPEC_TL;LGD_SPEC_TB;LGD_SPEC_TB_c;LGD_SPEC_TB_cl;POL_ORIG_NC;POL_ORIG_TL;POL_GEN_NC;POL_GEN_TL;DIS_POL;POL;DIS_POL_BGP;POL_SPEC_NC;POL_SPEC_TL;POL_SPEC_TB;POL_SPEC_TB_c;POL_SPEC_TB_cl;POD_ORIG_NC;POD_ORIG_TL;POD_GEN_NC;POD_GEN_TL;DIS_POD;POD;DIS_POD_BGP;POD_SPEC_NC;POD_SPEC_TL;POD_SPEC_TB;POD_SPEC_TB_c;POD_SPEC_TB_cl;GOOD_ORIG_NC;GOOD_ORIG_TL;MATCH_GOOD;GOOD_SPEC_NC;GOOD_SPEC_TL;GOOD_SPEC_BP;BAD_ORIG_NC;BAD_ORIG_TL;MATCH_BAD;BAD_SPEC_NC;BAD_SPEC_TL;BAD_SPEC_BP;HAINE;ISHOKO;GDSMDIFF
Hadza;CERC104;6015;0;1;Hadza;Hadza;6015;6015;1;1;Loving one another;Loving one another;Virtue;Virtue;0;0;Virtue;0;Virtue;Loving - People;Love;Loving - People;Loving - People;Loving - People;Being unfaithful;Being unfaithful;Religion;Religion;0;0;Religion;0;Religion;Not Faithful;Unfaithful;Not Faithful;Not Faithful;Not Faithful;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;Peace among people;Peace among people;People;People;0;People;0;Peace - People;Peace;Peace - People;Peace - People;Peace - People;Stealing;Stealing;Morality;Morality;0;Morality;0;Stealing;Stealing;Stealing;Stealing;Stealing;Welcoming;Welcoming;Match;Hospitable;Welcoming;Hospitable;Lying;Lying;Match;Lies;Dishonesty;Dishonest;Yes;Yes;Same
Hadza;CERC104;6015;0;2;Hadza;Hadza;6015;6015;2;2;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;Following laws;Following laws;Morality;Morality;0;Morality;0;Obedience - Law Abiding;Abiding by the law;Obedience - Law Abiding;Obedience - Law Abiding;Law Abiding;Killing;Killing;Morality;Morality;0;Morality;0;Violence - Killing;Killing;Violence - Killing;Violence - Killing;Murder;Truthfulness;Truthfulness;Match;Trust;Trustworthy;Honest;Trouble;Trouble;Match;Behaviour - Trouble;Trouble maker;Troublemaker;Yes;Yes;Same
Hadza;CERC104;6015;0;3;Hadza;Hadza;6015;6015;3;3;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;Faithfulness;Faithfulness;Match;Faith;Faithful;Religious Faith;Doesn't share;Doesn't share;Match;Not Sharing;Selfish;Doesn't Share;Yes;Yes;Same
Hadza;CERC104;6015;0;4;Hadza;Hadza;6015;6015;4;4;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;Calm;Calm;Match;Calm;Calm;Peaceful;Gossip;Gossip;Match;Gossip;Gossipping;Gossip;Yes;Yes;Same
Hadza;CERC105;6036;0;1;Hadza;Hadza;6036;6036;1;1;Good words;Good words;Etiquette;Etiquette;0;0;Etiquette;0;Etiquette;Speech - Good ;Good words;Speech - Good ;Speech - Good;Speech - Good;Fighting;Fighting;Morality;Morality;0;0;Morality;0;Morality;Violence - Fighting;Fighting;Violence - Fighting;Violence - Fighting;Violence;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;Peace;Peace;People;People;0;People;0;Peace;Peace;Peace;Peace;Peace;Killing;Killing;Morality;Morality;0;Morality;0;Violence - Killing;Killing;Violence - Killing;Violence - Killing;Murder;Forgiving;Forgiving;Match;Forgiving;Forgiving;Forgiving;Stubbbornness;Stubbbornness;Match;Stubborn;Stubborn;Stubborn;Yes;Yes;Same
Hadza;CERC105;6036;0;2;Hadza;Hadza;6036;6036;2;2;Laughter with others;Laughter with others;People;People;0;0;People;0;People;Laughter;Laughter;Laughter;Laughter;Laughter;Killing;Killing;Morality;Morality;0;0;Morality;0;Morality;Violence - Killing ;Killing;Violence - Killing ;Violence - Killing;Murder;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;Love between people;Love between people;Virtue;Virtue;0;Virtue;0;Loving;Love;Loving;Loving;Loving;People who sell marijuana;People who sell marijuana;Substance Use/Abuse;Substance Use/Abuse;0;Substance Use/Abuse;0;Smoking - Marijuana;Drug dealers;Smoking - Marijuana;Smoking - Marijuana;Smoking - Marijuana;Happy with people;Happy with people;Match;Happiness - Person;Happiness;Happy;Anger;Anger;Match;Anger;Anger;Angry;Yes;Yes;Same
Hadza;CERC105;6036;0;3;Hadza;Hadza;6036;6036;3;3;Praying;Praying;Ritual;Ritual;0;0;Ritual;0;Ritual;Prayer;Prayers;Prayer;Prayer;Prayer;Insulting others;Insulting others;Morality;Morality;0;0;Morality;0;Morality;Insults;Discrimination;Insults;Insults;Insults;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;Tranquility;Tranquility;People;Virtue;1;People;0;Tranquility;Peace;Tranquility;Tranquility;Tranquility;Alcohol;Alcohol;Substance Use/Abuse;Substance Use/Abuse;0;Substance Use/Abuse;0;Alcohol;Drugs/alcohol;Alcohol;Alcohol;Alcohol;Helping others;Helping others;Match;Helpful - Others;Helpful;Helpful;Greed;Greed;Match;Greed;Greed;Greedy;Yes;Yes;Same
Hadza;CERC105;6036;0;4;Hadza;Hadza;6036;6036;4;4;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;Sharing;Sharing;Match;Sharing;Sharing;Generous/Shares;Gossip;Gossip;Match;Gossip;Gossipping;Gossip;Yes;Yes;Same
Hadza;CERC105;6036;0;5;Hadza;Hadza;6036;6036;5;5;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;Loving;Loving;Match;Loving;Loving;Loving;Not helping people that need help;Not helping people that need help;Match;Not Helpful - Others;Unhelpful;Unhelpful;Yes;Yes;Same
Hadza;CERC106;6043;0;1;Hadza;Hadza;6043;6043;1;1;Good life for people he created;Good life for people he created;People;People;0;0;People;0;People;Lives- Good ;Good life;Lives- Good ;Lives - Good;Lives - Good;Lying;Lying;Morality;Morality;0;0;Morality;0;Morality;Lies;Dishonesty;Lies;Lies;Lies;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;Peace between people;Peace between people;People;People;0;People;0;Peace - People;Peace;Peace - People;Peace - People;Peace - People;Killing;Killing;Morality;Morality;0;Morality;0;Violence - Killing;Killing;Violence - Killing;Violence - Killing;Murder;Peaceful;Peaceful;Match;Peace;Peace;Peaceful;Lying;Lying;Match;Lies;Dishonesty;Dishonest;Yes;Yes;Same
